Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,Web Hosting,Priceline,"$2,000,000","Feb  1, 1998",,,,"$20,000,000","Jul 31, 1998","$55,400,000","Dec  1, 1998",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Say goodbye to complicated video editing and let Magisto do the work for you. Magisto is your ultimate video editor, editing all your videos and photos in a single click!",Travel,Magisto,"$2,000,000","Feb 21, 2014",,,,,,"$5,500,000","Sep 20, 2011","$13,000,000","Oct 29, 2013",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Crowdpark is a German game development studio.We create video slots for the free-to-play & the online gambling market on multiple platforms including the web, mobile, and Facebook. All game & platform development is done in-house.Crowdpark started as a pioneer of social betting. Founded in 2009, we were backed by premier venture capital firms Earlybird and Target Partners. In 2012 we became part of a leading family-owned European casino group. We are now a wholly owned subsidiary of Bally Wulff, one of Germany’s leading manufacturers of electronic gaming machines.Crowdpark is based in Berlin, Germany, Europe’s gaming hub.",Gambling,Crowdpark,,,iGaming made in Berlin,,,,,"$6,000,000","Oct 19, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,SearchMe,"$3,300,000","May  1, 2009",Visual search engine for the web,,,"$400,000","Jul  1, 2005","$3,600,000","Jan  1, 2006","$12,000,000","Jun  1, 2007","$15,000,000","Oct  1, 2007",,GitHub_funding,,,,,,,,,,,,,,
Baynote software provides personalized shopping experiences that help drive conversions. Let us help improve your customers' experiences today.,Health Care,Baynote,,,,,,"$4,000,000","Mar  1, 2005","$10,750,000","Apr  1, 2007","$13,000,000","Jan 12, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Visualization,Innography,"$3,500,000","Jan 30, 2014",,,,"$6,500,000","Aug  1, 2008","$3,000,000","Feb 22, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Wetpaint,,,,,,"$5,250,000","Oct  1, 2005","$9,500,000","Jan  1, 2007","$25,000,000","May 19, 2008",,,,GitHub_funding,,,,,,,,,,,,,,
,Curated Web,ConteXtream,"$217,000","Apr  1, 2013",,,,"$9,600,000","Jun  1, 2007","$14,000,000","Nov  4, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,E-Commerce,World-of-Good,,,,,,,,"$4,000,000","Nov  6, 2006","$1,100,000","Jan  5, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,News,Greentech-Media,,,,,,"$1,000,000","May 24, 2007","$2,750,000","May 13, 2008","$825,000","Aug 13, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,-,Cinchcast,"$1,300,000","Jun  9, 2014",,,,,,"$6,000,000","Aug 17, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,OpVista,,,,,,,,,,"$28,000,000","Jun 22, 2006","$15,000,000","May  7, 2007",-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Noble-Biomaterials,,,,,,,,"$8,000,000","Feb 10, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Imbera-Electronics,,,,,,,,"$15,000,000","Apr 13, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"AwarenessHub delivers a game-changing and comprehensive system to centrally manage all social media marketing activities, all from a single platform.",Audio,Awareness,"$2,000,000","Jun 29, 2012",,,,"$7,000,000","Jul 23, 2007","$9,900,000","Feb  5, 2010",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,-,Quinnova-Pharmaceuticals,"$300,000","Sep 28, 2010",,,,,,"$17,400,000","Nov 25, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Security,Quarri-Technologies,"$697,200","Aug 12, 2014",,,,,,"$3,000,000","Nov  1, 2011","$2,300,000","Nov 20, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,Freedom-Meditech,"$630,000","May 15, 2009","Non-invasive, ophthalmic medical devices (chronic disease detection, diabetes management)",,,"$2,000,000","Sep 28, 2012","$7,000,000","Aug  6, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Join Craftsy, a community of passionate crafters featuring online classes about all your favorite crafts including quilting, sewing &amp; cake decorating.",Hardware + Software,Sympoz,,,,,,"$6,000,000","Sep 14, 2011","$15,000,000","Apr 20, 2012","$35,000,000","Dec 19, 2013",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Andigilog,,,,,,,,"$18,000,000","Feb 20, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Technology,Fastmobile,,,,,,,,"$12,000,000","May 16, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Alert-Logic,"$7,400,000","Jun  6, 2012",,,,"$2,300,000","Sep 19, 2005","$5,000,000","Aug  1, 2006","$8,250,000","Mar  4, 2008","$3,500,000","Oct  5, 2009",,GitHub_funding,,,,,,,,,,,,,,
"The Kyruus ProviderMatch suite of products leverages data-driven “Smart Search” engine technology to ensure that patients are matched to the right providers across all points of service, including: access contact centers, referring provider offices, consumer web and mobile apps, hospital discharge programs.ProviderMatch helps health systems improve yield from their Patient Access & Referral Management programs, and generate high-quality, actionable patient encounters across their entire provider network. It provides referring physicians, schedulers, and referral coordinators with tools to find and connect patients with clinically appropriate, in-network, and… · More available providers. The platform results in maximum provider productivity, reduction in misdirected referrals, and high patient and provider satisfaction through several access channels.",,Kyruus,,,A Better Match Means Better Care,,,"$5,500,000","Jun 21, 2011","$11,000,000","Jan  2, 2013","$25,000,000","Sep 17, 2015",,,,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Application,Kythera-Biopharmaceuticals,"$1,000,000","Sep 16, 2005",,,,,,"$30,000,000","Jul 24, 2006","$30,000,000","May 19, 2008","$37,400,000","Sep 19, 2011",Series A,GitHub_funding,,,,,,,,,,,,,,
"Conduit Labs is the largest provider of music games on the web, creating a new model for monetizing music and other media through fun social games.(acquired by Zynga, 08/2010)",Beauty,Conduit-Labs,,,,,,"$5,500,000","Aug  1, 2007","$3,000,000","Sep 15, 2009",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Naurex,"$1,100,000","Feb  4, 2011",,,,"$18,000,000","May 11, 2011","$38,000,000","Dec 17, 2012","$25,000,000","May  6, 2014",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Fuhu,"$10,000,000","Aug 22, 2012",,,,"$1,500,000","Feb  1, 2008","$6,300,000","May  7, 2009","$21,500,000","Feb  1, 2010","$27,000,000","Apr 21, 2014",,GitHub_funding,,,,,,,,,,,,,,
"Breather creates peaceful, practical and beautifully designed private spaces where you can work, meet and relax. Currently operating out of NYC, SF, Boston, Montreal and Ottawa, Breather lets you unlock a space of your own, on-the-go and on-demand. Booking is easy – simply find and reserve a Breather near you on our iOS and Android apps or on our website at Breather.com. You can book rooms for 30 minutes, a few hours or an entire day. By partnering with Breather, property owners, building managers and commercial real-estate brokers can make more money from their unused and under-performing space and thereby increase the value of their existing… · More real estate portfolios. Breather has raised funding from Valar Ventures, RRE, Real Ventures, SOS Ventures and Slow Ventures and others. Since launching, we’ve been featured in The New York Times, The New Yorker, The Atlantic, Fortune, Dwell and TechCrunch, to name a few.",Mobile Security,Breather,,,"Find and unlock beautiful, private spaces to work, meet and relax.","$1,500,000","Jun  7, 2013","$6,000,000","Sep  4, 2014","$20,000,000","Sep 17, 2015",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,SkyeTek,,,,,,,,"$8,000,000","Aug 23, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Avegant is pioneering the next generation of near-eye displays. Its core, patented, technology takes advantage of micromirror arrays to create ultra-vivid, pixel-free images for applications that range from mobile media consumption to virtual and augmented reality. Avegant's technology delivers unparalleled quality and clarity with very low latency to deliver the most compelling experience for its consumers. Avegant will be launching its first consumer product in Fall 2015 called the Glyph. Designed to be the worlds first stylish and lightweight wearable display, it will transform how content is consumed on mobile devices.",-,Avegant,,,Pioneering the next generation of near-eye displays.,"$1,509,506","Feb 23, 2014","$9,370,000","Nov  4, 2014","$24,000,000","Aug 21, 2015",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Heathcare,Health-Warrior,,,,,,,,"$3,300,000","Jul 18, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Finance,Panzura,,,,,,"$6,000,000","Sep 28, 2008","$12,000,000","Dec  7, 2010","$15,000,000","Jun 19, 2012","$25,000,000","Jun  6, 2013",-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Tetraphase-Pharmaceuticals,"$10,000,000","Sep 22, 2009",,,,"$15,000,000","Aug  7, 2008",,,"$45,000,000","Jun  1, 2010",,,-,GitHub_funding,,,,,,,,,,,,,,
,,Kosmix,"$237,600","Oct  9, 2009",,,,"$7,000,000","Nov 28, 2005",,,"$10,000,000","Dec 28, 2007","$20,000,000","Dec  8, 2008",,GitHub_funding,,,,,,,,,,,,,,
"The first (and still biggest) mobile travel assistant. Auto-builds itinerary, syncs to smartphone, pushes alert for flight delays / weather etc., finds hotels and meetings, shares itinerary with co-travelers etc.Over 6M reg'd users worldwide. Now embedded in the BlackBerry Platform as ""BlackBerry Travel""",Business Analytics,WorldMate,,,Mobile Travel Assistant. Acquired by Carlson Wagonlit.,,,,,,,"$8,000,000","Oct 29, 2008","$2,800,000","Jan  1, 2012",Seed,GitHub_funding,,,,,,,,,,,,,,
,Artificial Intelligence,GNS-Healthcare,"$5,000,000","Apr  6, 2012",Discovering what works in healthcare.,,,,,"$10,000,000","Jan 31, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Recycling,aihuishou,,,,,,"$2,000,000","Oct  1, 2011","$8,000,000","Jul 16, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Penetration Testing and Application Security Testing services are provided via cloud @ 50% of iViZ competitors costs with consultant grade quality.,-,iViZ-Techno-Solutions,,,,,,,,"$1,600,000","Dec  1, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Sentilla,,,,,,"$3,850,000","Oct 23, 2006","$7,500,000","Jan  6, 2009","$15,000,000","Aug 15, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Real Estate,Shubham-Housing-Development-Finance-Company,,,,,,,,"$8,000,000","Nov 30, 2012","$20,000,000","Sep  9, 2014",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,AdXpose,,,,,,"$9,800,000","Feb  1, 2007","$10,000,000","Jun 11, 2008","$3,000,000","Apr  4, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Analytics,KIXEYE,,,,,,"$1,000,000","Nov 18, 2008",,,"$18,000,000","Aug  3, 2011",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,SOL-REPUBLIC,"$22,000,000","Jul 20, 2012",,,,Unknown,"Jan  1, 2011","$5,200,000","Jun 28, 2012","$27,500,000","Mar 28, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
,Big Data Analytics,Siri,,,Virtual personal assistant (acquired by Apple Inc),,,"$8,500,000","Oct 13, 2008","$15,500,000","Nov 24, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Mobile Analytics,Scout-Labs,"$4,000,000","Oct  1, 2009",,,,Unknown,"Oct  1, 2006",Unknown,"Dec  1, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Big Data is not just big—it’s messy, complicated and coming at most businesses faster than they can rationalize, much less analyze. As a result, data professionals spend far more time wrangling and cleansing data than analyzing it. And business professionals are left on the outside looking in.Trifacta provides a breakthrough user experience that makes data experts far more productive and allows business analysts to work directly with Big Data. This means faster time to analysis. And perhaps more significantly, it unlocks the potential of a wide variety of data that was previously left aside as being too hard to use. The result: better, faster, more informed business decisions.",,Trifacta,,,People \u2022 Transforming \u2022 Data,,,"$4,300,000","Jun 12, 2012","$12,000,000","Dec  6, 2013","$25,000,000","May 29, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
,Software,NextNine,"$5,000,000","Jan 24, 2005",,,,,,,,"$10,000,000","Sep 27, 2006",,,-,GitHub_funding,,,,,,,,,,,,,,
,Intellectual Asset Management,ConnectM-Technology-Solutions,,,,,,"$6,000,000","Jun 27, 2007","$4,000,000","Aug  1, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,EdeniQ,"$8,000,000","Jul 18, 2013",,,,"$33,100,000","Apr 21, 2008","$12,400,000","May 11, 2010",,,,,,GitHub_funding,,,,,,,,,,,,,,
"The Minerva Project is launching an Ivy-caliber university built to accelerate the life trajectories of the brightest and most motivated students. Minerva will draw on the best traditions of elite university education while leveraging cutting edge technologies and harvesting decades of research on student learning and success. Minerva will provide an unparalleled educational experience for the 21st century. Our vision is a world where an interconnected set of the brightest, most motivated, best-educated leaders and innovators create extraordinary breakthroughs and promote international cooperation to solve the most complex global challenges.At Minerva,… · More we believe that we can have the greatest positive impact on our collective future by ensuring the most exceptional students in the world are able to fulfill their enormous potential and take on roles as future leaders and innovators.",,Minerva-Project,,,Top tier university for the 21st century,"$25,000,000","Apr  3, 2012",,,"$70,000,000","Oct 15, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Consumer Electronics,CiraNova,"$8,500,000","Aug 18, 2010",,,,,,,,"$4,000,000","Oct 24, 2006",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Cloud Security,Bitglass,,,,,,"$10,000,000","Mar  8, 2013","$25,000,000","Aug  5, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Virtualization,Zing-Systems,,,,,,"$13,000,000","Jan  1, 2007",,,"$13,000,000","Dec  1, 2006",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Diabetes,Internet-REIT,,,,,,"$20,000,000","May 19, 2006","$38,000,000","Mar  6, 2007",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,BioSeek,,,,,,,,,,"$10,000,000","May 23, 2007",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Consulting,Xoomsys,,,,,,,,"$8,000,000","Jun 18, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
Explore how to balance agentless software dynamically to optimize the performance and capacity of your data center management and data infrastructure.,Hardware + Software,Akorri-Networks,"$10,100,000","Mar 23, 2010",,,,"$8,400,000","May  5, 2005","$15,200,000","Apr  3, 2006","$15,000,000","Sep 10, 2007",,,Seed,GitHub_funding,,,,,,,,,,,,,,
,-,KIT-Digital,,,,,,"$5,000,000","Apr 18, 2008","$15,000,000","May  8, 2008",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Health Care,BioBehavioral-Diagnostics,"$500,000","Feb 28, 2013",,,,,,"$10,000,000","Mar 17, 2010",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Jobaline.com is a mobile-first, bilingual jobs marketplace that enables the more than 75 million hourly workers in the United States to find and apply for jobs from any computer, tablet or phone.We use state-of-the-art technology to solve the key issues affecting these workers and their employers. Hourly workers use mobile devices as their primary connection point, but they can’t easily apply for jobs using their phones. 90% of them prefer text messaging as their main means of communication, but they can’t apply using simple text messaging. Applications are in English, and applicants often speak Spanish. Close to one billion man-hours are wasted in the United… · More States every year in inefficient ways to match workers with jobs.",Career Management,Jobaline,,,largest mobile & bilingual jobs marketplace,"$1,560,000","Nov 30, 2012","$4,300,000","Oct  1, 2013","$7,000,000","May 28, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Amprius,"$25,000,000","Mar  3, 2011",,,,,,,,"$30,000,000","Jan  6, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
"Interana is the fast and scalable event-based analytics solution that answers critical business questions on how customers behave and products are used. With Interana, key business metrics that matter most in a data-driven world, such as growth, retention, conversion and engagement, to be analyzed and explored in seconds rather than the hours or days it often takes with existing solutions. Based in Menlo Park, CA, Interana is founded by top technology experts from Facebook, Google, Coraid, Intel, MemSQL, Oracle and VMware, and is backed by venture capital firms Battery Ventures, Data Collective, SV Angel, Fuel Capital, and YCombinator.  To find out more about Interana,… · More visit www.interana.com and follow us on Twitter at @InteranaCorp. ",Big Data Analytics,Interana,,,Event Data Analytics,,,"$8,200,000","Feb  1, 2013","$20,000,000","Jan 21, 2015",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Health Care,LifeBond,,,,,,,,"$8,000,000","Jun  3, 2009","$20,000,000","May 23, 2011","$12,500,000","Sep 30, 2014",-,GitHub_funding,,,,,,,,,,,,,,
,Commercial Real Estate,Health-Guru,,,,,,"$250,000","Jan  1, 2007",,,"$3,200,000","Oct 21, 2009","$6,000,000","Jun 29, 2011",Series A,GitHub_funding,,,,,,,,,,,,,,
,Logistics,Trinity-Biosystems,"$7,500,000","Nov 13, 2009",,,,,,"$21,000,000","Jul 18, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Auvitek-International,,,,,,,,"$9,000,000","May  9, 2006",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Ad Targeting,Sportgenic,,,,,,"$1,500,000","Jul  1, 2008","$10,000,000","Sep  9, 2008",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"BuzzFeed is the leading social news organization, intensely focused on delivering high-quality original reporting, insight, and viral content across a rapidly expanding array of subject areas. Our technology powers the social distribution of content, detects what is trending on the web, and connects people in realtime with the hottest content of the moment. Our site is rapidly growing and reaches more than 25 million monthly unique visitors.",,BuzzFeed,"$50,000,000","Aug 10, 2014",First True Social News Organization,,,"$3,500,000","Jul  9, 2008","$8,000,000","May 12, 2010","$15,500,000","Jan  9, 2012","$19,300,000","Jan  3, 2013",,GitHub_funding,,,,,,,,,,,,,,
NoWait is cloud based seating management for the casual dining restaurant. NoWait eliminates the frustration for restaurants and guests by innovating the waiting process with an iPad wait list that notifies guests by text message when tables are ready. This text message creates a never before available channel for in-restaurant advertising direct to guest’s phones. NoWait automatically builds a valuable text message for post dining interactions. NoWait will become the OpenTable for Casual Dining,Educational Games,NoWait,"$2,000,000","Oct  7, 2013",OpenTable for no reservation restaurants ,"$50,000","Jun  1, 2012","$2,000,000","Aug 28, 2012","$10,000,000","May 20, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Software,Billtrust,"$4,000,000","Oct 17, 2006",,,,,,"$25,000,000","Nov 14, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,E-Commerce,BlogHer,,,,,,"$3,500,000","Jul 15, 2007","$5,000,000","Jul 16, 2008","$7,000,000","May 14, 2009",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"NXTP Labs has developed a program which provides entrepreneurs with seed funding, infrastructure, training, mentoring, and interactive marketing services. We invest value added capital by providing managerial support to access a network of service providers, customers and next stage investment capital resources. Early stage companies will typically receive $25,000 as initial investment to allow teams to focus on product development. At the end of the program our aim is to have companies 'investor-ready'. The fund will invest up to $1,000,000 in follow-on investments in subsequent rounds of high potential companies. Our investment thesis focuses… · More on able and ambitious teams focused on Internet Specific/Digital Technology markets that aim to become regional, if not global, companies.",Social Media Marketing,NXTP-Labs,,,"NXTP Labs is the most active early stage fund for tech companies in Latin America. \n\nA powerful network for entrepreneurs, investors, executives and organizations who believe in building the best ventures with global impact.",,,,,"$30,000,000","Dec 31, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Batteries,Alphabet-Energy,"$2,000,000","Mar  8, 2012",,"$1,000,000","May  3, 2010","$12,000,000","Sep 15, 2011","$16,000,000","Mar 11, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,SocialFlow,"$2,400,000","Apr 25, 2014",,Unknown,"Mar  1, 2010","$7,000,000","Apr  7, 2011","$10,000,000","Apr 17, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Power-Analog-Microelectronics,,,,,,,,"$6,000,000","Dec  1, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Content Delivery,Overtone,"$2,500,000","Oct  1, 2009",,,,"$5,000,000","Mar  5, 2007","$6,000,000","Jul  2, 2008","$7,000,000","Apr 19, 2010",,,Seed,GitHub_funding,,,,,,,,,,,,,,
,Web Tools,TuneWiki,,,,,,"$3,000,000","Apr  1, 2008","$7,000,000","Feb  8, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Open Source,Zettaset,,,,,,"$3,000,000","Apr  1, 2011","$10,000,000","Nov  1, 2012",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Venture Capital,Newcomlink,"$6,100,000","Apr  2, 2013",,,,,,"$10,000,000","Jul 18, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Tragara-Pharmaceuticals,"$4,000,000","Aug  8, 2012",,,,,,"$5,000,000","Apr 15, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Personalization,Power2SME,,,,,,"$2,000,000","Jan  1, 2012","$6,000,000","Jul 24, 2013","$6,800,000","Sep 15, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
,-,Bluestacks,"$13,000,000","Jul 23, 2014",,,,"$7,600,000","May 24, 2011","$6,400,000","Oct 20, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,HistoSonics,,,,,,"$11,000,000","Feb 22, 2010","$14,200,000","May 19, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Adometry optimizes advertising campaigns with the most accurate marketing analytics platform, providing top agencies and advertisers remarkable results.",News,Adometry,,,,"$50,000","Jan 12, 2010","$5,000,000","Feb  7, 2007","$10,000,000","Mar  7, 2008","$6,000,000","Jun 30, 2010","$8,100,000","Dec 28, 2012",Series B,GitHub_funding,,,,,,,,,,,,,,
,Software,Kewego,,,,,,"$6,300,000","Apr  1, 2006","$6,900,000","Sep  1, 2007","$6,200,000","Jan 19, 2009",,,-,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,1stdibs,"$42,000,000","Dec  3, 2012",Luxury Online Marketplace,,,,,,,"$15,000,000","Jan 24, 2014",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,VaxInnate,"$2,100,000","Jan 28, 2014",,,,,,,,"$40,000,000","Oct 25, 2006","$30,000,000","Jun 14, 2009",-,GitHub_funding,,,,,,,,,,,,,,
RealPage is a leading provider of on-demand software and services to the rental housing industry.,,RealPage,"$6,866,225","Sep 15, 2011",,,,"$31,612,500","Dec 30, 2003","$6,500,000","Dec 14, 2005","$13,612,500","Feb 22, 2008",,,,GitHub_funding,,,,,,,,,,,,,,
,,GreenVolts,"$15,000,000","Apr  1, 2012",,"$7,500,000","Aug 11, 2010",,,"$300,000","Sep  1, 2008","$39,000,000","Jun 29, 2011",,,,GitHub_funding,,,,,,,,,,,,,,
,Internet Radio,TerraGo-Technologies,"$995,000","Oct 15, 2013",,,,"$6,300,000","May 16, 2007","$2,100,000","Sep 15, 2011","$5,500,000","Mar 19, 2013",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Wellfount,"$15,000,000","Mar 26, 2014",,,,"$6,000,000","Apr 20, 2011","$1,700,000","Dec 28, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
Sypherlink is a software firm that delivers patent-pending technology to accelerate the data sharing process across multiple data sources.,Software,Sypherlink,,,,,,"$3,500,000","Jun 28, 2005","$3,500,000","Aug  1, 2007",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Car Rental P2 P ,TwinStrata,"$5,700,000","Aug 22, 2011",,"$750,000","Feb 14, 2011",,,"$8,000,000","Oct 13, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Gridstore 3 is Software-defined storage built for Virtualization. Gridstore 3 helps to fix the performance gap between traditional storage and virtualization for organizations with Windows Server Hyper-V.,Software,Gridstore,,,,Unknown,"Dec 29, 2010","$12,500,000","Oct 15, 2012","$11,000,000","Dec  4, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Acquisition strengthens Cisco?s mobility expertise,Crowdsourcing,Ubiquisys,"$19,000,000","Aug 15, 2012",,,,"$12,000,000","Sep  7, 2006","$25,000,000","Jul 20, 2007",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"AdzCentral is a Scientific Media Buying Platform that: - Connects to hundreds of billions of impressions per month and puts the ad in front just the right audience among Southeast Asia’s online diversity- Offers sophisticated programmatic buying, permitting marketers to increase ROI while also helping publishers to maximize the value of their inventory- Allows marketers to access and use ever greater amounts of consumer data to transform advertising efficiency",Hardware + Software,AdzCentral,,,Scientific Media Buying,,,"$3,200,000","Mar 20, 2013","$3,200,000","Mar 13, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Health and Wellness,SeeChange-Health,,,,,,,,"$20,000,000","Jul 11, 2011","$15,000,000","Jan  7, 2013",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Software,OnePIN,"$1,700,000","Feb  3, 2014",,,,,,"$8,000,000","Jun  7, 2007",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Payvment is the leading Social Commerce platform and the #1 eCommerce solution on Facebook. Payvment powers shopping and product discovery for over 250,000 businesses on Facebook, Twitter and its own shopping destination Lish.com. Payvment also developed its own proprietary social ad targeting technology. http://www.payvment.com http://www.facebook.com/Payvment … · More href=""https://angel.co/payvment"" target=""_blank"" title=""Payvment"">@Payvmenthttp://lish.com",-,Payvment,,,,"$250,000","Jan  1, 2009","$1,500,000","Mar 29, 2010","$6,000,000","Nov 30, 2010",,,,,Seed,GitHub_funding,,,,,,,,,,,,,,
,Virtualization,Molecular-Imprints,"$18,800,000","Apr 25, 2014",,,,,,,,"$17,000,000","Sep 21, 2005",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,-,91JinRong,,,,,,"$9,800,000","Oct  1, 2013","$10,000,000","Jun 16, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Amplify your content on Outbrain’s network of top publisher sites! For as little as $10 a day, you can drive highly engaged readers directly from these publishers to your content. Plus you pay only for the clicks you get.",,Outbrain,"$35,000,000","Oct 22, 2013",Related Link Widgets,"$1,000,000","Jan  1, 2007","$5,000,000","Feb 25, 2008","$12,000,000","Feb 11, 2009","$11,000,000","Feb 14, 2011","$35,000,000","Dec 14, 2011",,GitHub_funding,,,,,,,,,,,,,,
,Jewelry,Northern-Power-Systems,,,,,,,,,,"$37,000,000","Sep 25, 2008",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Games,T-RAM-Semiconductor,,,,,,,,,,"$40,000,000","Apr 20, 2005",,,,GitHub_funding,,,,,,,,,,,,,,
iRobot designs and builds robots that make a difference and was founded in 1990 by Massachusetts Institute of Technology roboticists with the vision of making practical robots a reality.,Rental Housing,iRobot,,,Robots that make a difference,,,,,,,"$13,000,000","May 30, 2003",,,,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,PNP-Therapeutics,"$212,000","Sep 25, 2013",,,,,,"$925,000","Jun  7, 2007","$673,000","Jun 27, 2012",,,Series B,GitHub_funding,,,,,,,,,,,,,,
